SektorPemanfaatan,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Pertanian, Peternakan, Kehutanan & Perikanan / 
Agriculture, Husbandry, Forestry & Fishing",4928.457723,5502.884068,6102.906223,6859.835604,7068.661087,12347.09119,14073.36674,15763.55086,17170.56549,16829.44456,17043.65171,16871.37925,16996.92147,17817.13898
Pertambangan & Penggalian / Mining & Drilling,6837.30578,8797.733428,12878.7832,11679.02997,17702.92965,21332.02924,27697.80693,27334.69769,25911.72624,23759.43017,23584.31703,29478.27225,33631.97033,37026.09766
Industri Pengolahan / Manufacturing,20361.31145,22457.45156,21358.11999,21478.57481,24533.20022,27842.22403,30531.80791,33559.27405,34421.70805,34817.91669,36455.56777,36094.40883,35663.58956,36518.02578
"Pengadaan Listrik, Gas, Uap / Air Panas dan Udara / Electricity, Gas, Steam and Air Conditioning Supply ",13283.29227,14628.80008,14632.30404,17716.02599,21144.2105,23134.10755,20309.52022,23374.34872,23067.97503,23690.51477,28544.79433,34983.53986,41590.53531,44955.74846
"Pengelolaan Air, Pengelolaan Air Limbah, Pengelolaan dan Daur Ulang Sampah, dan Aktivitas Remediasi /  Water Management, Waste Water Management, Waste Processing and Recycling, and Remediation Activities",455.6169128,440.245589,388.4065439,351.6410755,304.0320538,2057.515665,2133.922201,2547.746076,2966.893185,2619.91935,3420.217934,4023.466804,4653.290292,5264.33879
Konstruksi / Construction,11029.81338,12024.66922,11326.68807,11667.33351,11723.51044,17774.78501,17536.49051,19364.91131,20895.32319,23841.83704,31603.73199,33180.31993,35054.98867,36542.63031
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor /  Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycle",4645.719386,5059.315151,5090.513283,6261.629329,7684.37077,8894.020852,7747.249064,9196.575112,9609.292533,8741.879164,9621.180297,9676.783477,8859.252493,8793.179099
Transportasi dan Pergudangan / Transportation and Storage,3358.641994,3484.615935,3423.651488,4055.350749,5142.432493,10835.86655,10965.24338,13069.69966,14004.82272,13495.20109,15781.07989,18606.34604,20837.94386,22588.99337
Penyediaan akomodasi dan penyediaan makan minum / Provision of accommodation and the provision of drinking,176.1321394,195.1096422,202.8094575,259.9423239,331.2667535,396.6204055,348.3181926,421.2842911,407.6341134,415.6980118,530.1131674,549.7229671,531.3998909,587.2103435
Informasi dan Komunikasi / Information and Communication,4794.992682,5017.175721,4949.24289,5887.872818,7018.867872,8200.026651,7202.224915,8335.72503,8099.867507,8676.825907,9045.376756,8182.419896,6018.350617,6565.178886
Jasa Keuangan dan Asuransi / Financial and  Insurance Activities,23222.52137,23721.20692,32277.96569,40603.60673,39609.35855,48811.02876,55360.11358,59985.2979,67881.84262,66889.19183,68345.64275,75870.60014,78538.14823,72299.82291
Real Estate / Real Estate Activities,2421.566175,2679.797055,2783.360852,3563.528806,4538.598212,5431.461819,4770.118135,5768.032279,6285.228049,5343.450805,6083.818909,5863.67371,6972.521259,6871.667908
Jasa Perusahaan / Business Activities,807.8508923,891.0049146,924.773731,1176.566296,1493.274803,1783.093697,1567.348198,1889.519824,1870.168325,1950.203999,2403.181388,3068.866828,3852.448954,5019.976646
"Administrasi Pemerintah, Pertahanan, dan Jaminan Sosial Wajib / Public Administration and Defence; Compulsory Social Security",17175.55311,21061.96885,28619.03295,41594.19283,47650.24747,15631.15933,16113.14008,18820.21594,19717.32513,24129.42752,24490.98781,25560.81331,30791.2578,24603.28819
Jasa Pendidikan / Education,3272.676607,3363.125679,3921.983173,4153.217785,4285.15184,14974.96453,15557.20241,18031.6776,20747.86731,23301.12235,27865.8754,28714.13756,32346.15027,34391.88932
Jasa Kesehatan dan Kegiatan Sosial / Human Health and Social Work Activities,7340.482498,8816.778181,8946.022652,10010.39845,10542.07692,20736.13436,20561.18572,22455.76195,24146.81678,29166.27788,35031.8568,34419.4797,38547.09592,49535.13131
Jasa Lainnya / Other Services Activities,17068.29525,16938.2835,15043.97715,15094.42333,14602.33548,12182.09935,13634.28461,13409.67684,13525.21577,12337.43054,12617.21136,10285.98306,8676.766042,8353.062451
Total,141180.2296,155080.1655,172870.5414,202413.1704,225374.5251,252364.229,266109.3428,293327.9951,310730.272,320005.7717,352468.6053,375430.2136,403562.631,417733.3804
